Prey;WT_NC;WT_S;WT_FCS;G12_NC;G12_S;G12_FCS;G13_NC;G13_S;G13_FCS;Q61_NC;Q61_S;Q61_FCS
A0A087X1N8;0;0;0;0;0;0;0;0;0;0;0;0
Q00341;1;1;1;1;1;1;1;1;1;1;1;1
A0A024R4M0;0;0;0;0;0;0;0;0;0;0;0;0
A0A024R571;0;0;0;0;0;0;0;0;0;0;0;0
A0A0G2JL47;0;0;0;0;0;0;0;0;0;0;0;0
A0A067XG54;0;0;0;0;0;0;0;0;0;0;1;0
P11532;0;0;0;0;0;0;0;0;0;0;0;0
K7EM73;0;0;0;0;0;0;0;0;0;0;0;0
M0R1Z8;0;0;0;0;0;0;0;0;0;0;0;0
Q16881;0;0;0;0;0;0;0;0;0;0;0;0
Q96QZ7;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WTA5;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WTK0;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WTM1;1;1;1;0;1;1;0;1;1;1;1;0
A0A087WTP3;0;0;0;0;0;0;0;0;0;0;0;0
F8W6X9;0;0;0;0;0;0;0;0;0;0;0;0
P11940;1;1;1;0;1;1;1;1;1;1;1;0
A0A087WVR3;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WX17;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WU64;0;0;0;0;0;0;0;0;0;0;0;0
E9PL01;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WUK2;0;0;0;0;0;0;0;0;0;0;0;0
E7ETK0;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WUT6;0;0;0;0;0;0;0;0;0;0;0;0
A0A087X0G7;0;0;0;0;0;0;0;0;0;0;0;0
Q9NXU5;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WUZ3;1;1;1;1;1;1;1;1;1;1;1;1
F8W7C6;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WV97;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WVF7;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WVM4;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WVQ6;0;0;0;0;0;1;0;1;1;0;0;0
Q96AY4;0;0;0;0;0;0;0;0;0;0;0;0
C9JAG1;0;0;0;0;0;0;0;0;0;0;0;0
A0A0C4DGT3;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WXC5;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WXK8;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WXM6;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WXN9;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WXX9;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WY55;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WYN9;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WYT3;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WYX8;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WZ13;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WZ40;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WZG9;0;0;0;0;0;0;0;0;0;0;0;0
A0A087WZK9;0;0;0;0;0;0;0;0;0;0;0;0
