PreyGene;WT_NC;WT_S;WT_FCS;G12_NC ;G12_S;G12_FCS;G13_NC;G13_S;G13_FCS;Q61_NC;Q61_S;Q61_FCS
SERPINB6;0;0;0;0;0;0;0;0;0;0;0;0
HDLBP;1;1;1;1;1;1;1;1;1;1;1;1
RPS9;0;0;0;0;0;0;0;0;0;0;0;0
EHD1;0;0;0;0;0;0;0;0;0;0;0;0
BAT3;0;0;0;0;0;0;0;0;0;0;0;0
ATP11C;0;0;0;0;0;0;0;0;0;0;1;0
DMD;0;0;0;0;0;0;0;0;0;0;0;0
CAPNS1;0;0;0;0;0;0;0;0;0;0;0;0
BCL2L12;0;0;0;0;0;0;0;0;0;0;0;0
TXNRD1;0;0;0;0;0;0;0;0;0;0;0;0
MAGI1;0;0;0;0;0;0;0;0;0;0;0;0
EIF2B4;0;0;0;0;0;0;0;0;0;0;0;0
PTPRJ;0;0;0;0;0;0;0;0;0;0;0;0
ROBO1;1;1;1;0;1;1;0;1;1;1;1;0
KHSRP;0;0;0;0;0;0;0;0;0;0;0;0
SDK1;0;0;0;0;0;0;0;0;0;0;0;0
PABPC1;1;1;1;0;1;1;1;1;1;1;1;0
UHRF1;0;0;0;0;0;0;0;0;0;0;0;0
CDH1;0;0;0;0;0;0;0;0;0;0;0;0
POLA1;0;0;0;0;0;0;0;0;0;0;0;0
SPCS2;0;0;0;0;0;0;0;0;0;0;0;0
HNRNPDL;0;0;0;0;0;0;0;0;0;0;0;0
RPS24;0;0;0;0;0;0;0;0;0;0;0;0
EIF5B;0;0;0;0;0;0;0;0;0;0;0;0
IKBKG;0;0;0;0;0;0;0;0;0;0;0;0
ARL15;0;0;0;0;0;0;0;0;0;0;0;0
SPTBN1;1;1;1;1;1;1;1;1;1;1;1;1
RPL10;0;0;0;0;0;0;0;0;0;0;0;0
SMAP2;0;0;0;0;0;0;0;0;0;0;0;0
ITSN2;0;0;0;0;0;0;0;0;0;0;0;0
MTHFD1L;0;0;0;0;0;0;0;0;0;0;0;0
CLTC;0;0;0;0;0;1;0;1;1;0;0;0
TTC28;0;0;0;0;0;0;0;0;0;0;0;0
EPT1;0;0;0;0;0;0;0;0;0;0;0;0
IQSEC1;0;0;0;0;0;0;0;0;0;0;0;0
NDUFA10;0;0;0;0;0;0;0;0;0;0;0;0
FAM83D;0;0;0;0;0;0;0;0;0;0;0;0
RPL17;0;0;0;0;0;0;0;0;0;0;0;0
MTSS1L;0;0;0;0;0;0;0;0;0;0;0;0
PRKAA2;0;0;0;0;0;0;0;0;0;0;0;0
VTA1;0;0;0;0;0;0;0;0;0;0;0;0
DHX29;0;0;0;0;0;0;0;0;0;0;0;0
PTGES3;0;0;0;0;0;0;0;0;0;0;0;0
FRMPD4;0;0;0;0;0;0;0;0;0;0;0;0
RAVER1;0;0;0;0;0;0;0;0;0;0;0;0
MAP7;0;0;0;0;0;0;0;0;0;0;0;0
PEG10;0;0;0;0;0;0;0;0;0;0;0;0
EIF3H;0;0;0;0;0;0;0;0;0;0;0;0
IDH3B;0;0;0;0;0;0;0;0;0;0;0;0
CADM1;0;1;0;0;0;0;0;0;0;0;0;0
R3HCC1L;0;0;0;0;0;0;0;0;0;0;0;0
CENPE;0;0;0;0;0;0;0;0;0;0;0;0
YTHDF3;0;0;0;0;0;0;0;0;0;0;0;0
RELA;0;0;0;0;0;0;0;1;0;0;1;0
STAU1;1;1;1;1;1;1;1;1;1;1;1;1
AGAP1;0;0;0;0;0;0;0;0;0;0;0;0
PSME2;0;0;0;0;0;0;0;0;0;0;0;0
CNN2;1;1;1;1;1;1;1;1;1;1;1;1
BSG;0;0;0;0;0;0;0;0;0;0;0;0
SRSF3;0;0;0;0;0;0;0;0;0;0;0;0
HECTD1;0;0;0;0;0;0;0;1;0;0;0;0
PSMC6;0;0;0;0;0;0;0;0;0;0;0;0
DOCK9;0;0;0;0;0;0;0;0;0;0;0;0
DOCK1;0;0;0;0;0;0;0;0;0;0;0;0
AAK1;0;0;0;0;0;0;0;0;0;0;0;0
SCLY;0;0;0;0;0;0;0;0;0;0;0;0
MYO10;0;0;0;0;0;0;0;0;0;0;0;0
MBNL1;0;0;0;0;0;0;0;0;0;0;0;0
